scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S2,0,6,6.045618846081197,True,3,10,15.0,22.07
S2,0,7,6.049341128207743,True,3,10,15.0,22.07
S2,0,8,6.086158578749746,True,3,10,15.0,22.07
S2,0,9,6.076976323965937,True,3,10,15.0,22.07
S2,2,0,6.003225478809327,True,3,10,15.0,21.23
S2,2,1,6.030625427141786,True,3,10,15.0,21.23
S2,2,2,6.013194601051509,True,3,10,15.0,21.23
S2,2,3,6.147359491791576,True,3,10,15.0,21.23
S2,2,4,6.068777851760387,True,3,10,15.0,21.23
S2,2,5,6.14226625720039,True,3,10,15.0,21.23
S2,2,6,6.061963165178895,True,3,10,15.0,21.23
S2,2,7,6.059191859327257,True,3,10,15.0,21.23
S2,2,8,6.070737683214247,True,3,10,15.0,21.23
S2,2,9,6.035386234056205,True,3,10,15.0,21.23
S2,3,0,6.017565660178661,True,3,10,15.0,22.95
S2,3,1,6.0544032719917595,True,3,10,15.0,22.95
S2,3,2,6.021700439974666,True,3,10,15.0,22.95
S2,3,3,6.06542987935245,True,3,10,15.0,22.95
S2,3,4,6.0878802901133895,True,3,10,15.0,22.95
S2,3,5,6.062671902123839,True,3,10,15.0,22.95
S2,3,6,6.086340747773647,True,3,10,15.0,22.95
S2,3,7,6.072865853086114,True,3,10,15.0,22.95
S2,3,8,6.016278156545013,True,3,10,15.0,22.95
S2,3,9,6.069141461048275,True,3,10,15.0,22.95
S2,5,0,6.061543276999146,True,3,10,15.0,20.46
S2,5,1,6.003023419994861,True,3,10,15.0,20.46
S2,5,2,6.0427574180066586,True,3,10,15.0,20.46
S2,5,3,6.125003630295396,True,3,10,15.0,20.46
S2,5,4,6.050348942168057,True,3,10,15.0,20.46
S2,5,5,6.041186396032572,True,3,10,15.0,20.46
S2,5,6,6.05717449914664,True,3,10,15.0,20.46
S2,5,7,6.045705982949585,True,3,10,15.0,20.46
S2,5,8,6.047575153876096,True,3,10,15.0,20.46
S2,5,9,6.135792347602546,True,3,10,15.0,20.46
S2,4,0,6.090204248204827,True,3,10,15.0,21.82
S2,4,1,6.022645094897598,True,3,10,15.0,21.82
S2,4,2,6.087311732117087,True,3,10,15.0,21.82
S2,4,3,6.17401117272675,True,3,10,15.0,21.82
S2,4,4,6.177003728225827,True,3,10,15.0,21.82
S2,4,5,6.179308306891471,True,3,10,15.0,21.82
S2,4,6,6.262306306045502,True,3,10,15.0,21.82
S2,4,7,6.1717707039788365,True,3,10,15.0,21.82
S2,4,8,6.010560573078692,True,3,10,15.0,21.82
S2,4,9,6.073015572037548,True,3,10,15.0,21.82
S2,6,0,6.063596126623452,True,3,10,15.0,21.27
S2,6,1,6.082393696065992,True,3,10,15.0,21.27
S2,6,2,6.068007914815098,True,3,10,15.0,21.27
S2,6,3,6.024329846724868,True,3,10,15.0,21.27
S2,6,4,6.118994288612157,True,3,10,15.0,21.27
S2,6,5,6.093321613036096,True,3,10,15.0,21.27
S2,6,6,6.010083626024425,True,3,10,15.0,21.27
S2,6,7,6.034348478075117,True,3,10,15.0,21.27
S2,6,8,6.201498169917613,True,3,10,15.0,21.27
S2,6,9,6.05768126482144,True,3,10,15.0,21.27
S2,7,0,6.007166869938374,True,3,10,15.0,21.4
S2,7,1,6.016458604019135,True,3,10,15.0,21.4
S2,7,2,6.10129035403952,True,3,10,15.0,21.4
S2,7,3,6.090995583683252,True,3,10,15.0,21.4
S2,7,4,6.01157470792532,True,3,10,15.0,21.4
S2,7,5,6.005969984922558,True,3,10,15.0,21.4
S2,7,6,6.043248984962702,True,3,10,15.0,21.4
S2,7,7,6.077728827949613,True,3,10,15.0,21.4
S2,7,8,6.100174068938941,True,3,10,15.0,21.4
S2,7,9,6.025302662048489,True,3,10,15.0,21.4
S2,8,0,6.093511912040412,True,3,10,15.0,19.5
S2,8,1,6.032596395816654,True,3,10,15.0,19.5
S2,8,2,6.012205604929477,True,3,10,15.0,19.5
S2,8,3,6.130398232955486,True,3,10,15.0,19.5
S2,8,4,6.037886410020292,True,3,10,15.0,19.5
S2,8,5,6.10029977792874,True,3,10,15.0,19.5
S2,8,6,6.095888738986105,True,3,10,15.0,19.5
S2,8,7,6.009502388071269,True,3,10,15.0,19.5
S2,8,8,6.078166026156396,True,3,10,15.0,19.5
S2,8,9,6.115634684916586,True,3,10,15.0,19.5
S2,9,0,6.04276925791055,True,3,10,15.0,20.7
S2,9,1,6.0546439699828625,True,3,10,15.0,20.7
S2,9,2,6.068090393673629,True,3,10,15.0,20.7
S2,9,3,6.166001510806382,True,3,10,15.0,20.7
S2,9,4,6.034763365983963,True,3,10,15.0,20.7
S2,9,5,6.175648034084588,True,3,10,15.0,20.7
S2,9,6,6.083875437732786,True,3,10,15.0,20.7
S2,9,7,6.117448655888438,True,3,10,15.0,20.7
S2,9,8,6.065275228116661,True,3,10,15.0,20.7
S2,9,9,6.088492316193879,True,3,10,15.0,20.7
S2,10,0,6.0269671329297125,True,3,10,15.0,23.9
S2,10,1,6.023138721939176,True,3,10,15.0,23.9
S2,10,2,6.003075227607042,True,3,10,15.0,23.9
S2,10,3,6.175725383218378,True,3,10,15.0,23.9
