k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,125,1000125,0,0.3969,0.5304,0.4291,0.0739,600,3,3,0,20.0,0.0,50.0,50.63
0,128,1000128,0,0.4799,0.5048,0.4273,0.0919,600,3,3,0,20.0,0.0,50.0,50.6
0,129,1000129,0,0.3209,0.5109,0.3477,0.1258,600,3,3,0,20.0,0.0,50.0,50.61
0,130,1000130,0,1.0979,1.3628,1.098,0.2164,600,3,3,0,20.0,0.0,50.0,50.62
0,132,1000132,0,0.2831,0.5952,0.3775,0.1549,600,3,3,0,20.0,0.0,50.0,50.61
0,134,1000134,0,1.0219,1.1202,1.0451,0.0536,600,3,3,0,20.0,0.0,50.0,50.6
0,133,1000133,0,0.6966,0.8151,0.6679,0.1344,600,3,3,0,20.0,0.0,50.0,50.62
0,135,1000135,0,0.6414,0.7712,0.4829,0.3202,600,3,3,0,20.0,0.0,50.0,50.61
0,131,1000131,0,0.8551,0.9209,0.7358,0.2185,600,3,3,0,20.0,0.0,50.0,50.64
0,136,1000136,0,0.6023,0.8258,0.6588,0.1217,600,3,3,0,20.0,0.0,50.0,50.6
0,137,1000137,0,0.6877,0.8492,0.6806,0.1413,600,3,3,0,20.0,0.0,50.0,50.62
0,138,1000138,0,0.3602,0.6325,0.4349,0.1417,600,3,3,0,20.0,0.0,50.0,50.62
0,139,1000139,0,0.4184,0.5606,0.4514,0.0791,600,3,3,0,20.0,0.0,50.0,50.63
0,140,1000140,0,0.2477,0.3056,0.2551,0.0389,600,3,3,0,20.0,0.0,50.0,50.62
0,143,1000143,0,0.8765,1.0028,0.8087,0.1905,600,3,3,0,20.0,0.0,50.0,50.61
0,142,1000142,0,0.6027,0.7061,0.4976,0.2269,600,3,3,0,20.0,0.0,50.0,50.63
0,141,1000141,0,0.7002,0.8373,0.6013,0.2438,600,3,3,0,20.0,0.0,50.0,50.64
0,144,1000144,0,0.2003,0.2474,0.1974,0.0426,600,3,3,0,20.0,0.0,50.0,50.6
0,145,1000145,0,0.4218,0.5558,0.4237,0.1073,600,3,3,0,20.0,0.0,50.0,50.62
0,146,1000146,0,0.8342,0.9487,0.831,0.0986,600,3,3,0,20.0,0.0,50.0,50.62
0,147,1000147,0,0.3811,0.4278,0.3658,0.0588,600,3,3,0,20.0,0.0,50.0,50.62
0,148,1000148,0,0.2424,0.3806,0.2638,0.0894,600,3,3,0,20.0,0.0,50.0,50.63
0,151,1000151,0,0.3398,0.5442,0.3673,0.1358,600,3,3,0,20.0,0.0,50.0,50.61
0,149,1000149,0,0.1956,0.2158,0.1987,0.0131,600,3,3,0,20.0,0.0,50.0,50.63
0,150,1000150,0,0.2564,0.308,0.2489,0.053,600,3,3,0,20.0,0.0,50.0,50.64
0,152,1000152,0,0.6227,0.6345,0.6245,0.0084,600,3,3,0,20.0,0.0,50.0,50.57
